"Group.1","ENERGIA_KCAL","ENERGIA_KJ","PTN","CHOTOT","FIBRA","LIP","COLEST","AGSAT","AGMONO","AGPOLI","AGTRANS","CALCIO","FERRO","SODIO","MAGNESIO","FOSFORO","POTASSIO","COBRE","ZINCO","VITA_RAE","TIAMINA","RIBOFLAVINA","NIACINA","PIRIDOXAMINA","COBALAMINA","VITD","VITE","VITC","FOLATO","Est"
11,139.966799563005,587.465744385441,6.95723122137405,17.6880992789578,1.93094645176458,4.94162334301361,22.6138158228233,1.54268818149132,1.60475186718664,1.34451684008187,0.100426522568868,31.7949214584025,0.884640255559243,193.844454647915,22.9517377201571,80.8915755122248,182.349217231995,0.125562098960062,0.963668162130767,32.6707256817679,0.0781026255669875,0.0731497145701958,1.2512081629605,0.0444919189069587,0.403914717889147,0.115903452538998,0.535892584080097,7.85224656073681,32.8908548293506,"Rondônica"
12,137.832784010125,579.22572641103,6.48400467013141,18.5035026831107,1.50492765241275,4.51807595594571,21.7383819226626,1.46401189304179,1.44059777439681,1.17295904378501,0.0969730382916846,32.0945389934296,0.788405661891426,170.303476569636,20.2142040114713,74.3217772875377,164.344224364229,0.103039449590694,0.907389122414907,26.8468015112021,0.0651858129577768,0.0717964099526066,1.18321132109005,0.0484121006570444,0.421153335038776,0.130158651443343,0.497619151227919,7.84407968521112,26.040095567374,"Acre"
13,137.501466101485,577.643694232673,6.42838326621287,18.8601561955446,1.37053253564356,4.27855162784653,22.6847146017327,1.37391724467822,1.3251674355198,1.11775533935644,0.109208040841584,32.635670174505,0.809780512376238,170.337479104084,17.8900100668317,74.9260975365099,153.468652349134,0.095214642450495,0.707684028960396,30.0089537303218,0.0686149748762376,0.083631075,1.22156427648515,0.0591597334158416,0.495698815965347,0.184842297277228,0.444410916707921,5.68057003613861,26.4326796232673,"Amazonas"
14,170.330251442358,715.278523654673,8.27785521661596,22.3167299517466,1.69586154515892,5.65001158816742,23.8790194188608,1.72264808979335,1.77917926256163,1.55496611454946,0.148855088639463,29.9569564754012,1.11906228994021,248.547486753383,20.6117535340397,91.9287539630756,178.322028120214,0.120127718451694,1.16863418546103,39.9875495195636,0.0901669411517885,0.110974055386552,1.49221456204762,0.0818298090842337,0.501325466275045,0.119605750550719,0.565047083814119,7.49547982586804,36.0175213500472,"Roraima"
15,130.048070612833,545.341071546717,6.17695027872508,17.6227041885193,1.57616237652744,4.15600323096223,21.3211462347256,1.25457437427403,1.4019685345909,1.10483879152535,0.0861876068624262,30.2274069241044,0.750367389141848,153.022315623821,19.0346988369419,70.9660244936812,153.903904551526,0.100111298610788,0.841034052292896,25.7028292067788,0.055912856711425,0.0544862347256423,1.05063812142824,0.0385554768154997,0.43547702968917,0.146307541815732,0.914199184012452,7.19215035055522,22.4983673491149,"Pará"
16,136.864544538621,574.561172290634,6.62268055786556,17.8304256026441,1.45641608774455,4.619988995149,22.7244299344315,1.42197646942801,1.51556314142545,1.20678501092809,0.11134488059065,30.2508697793059,0.80545758169412,169.787459268884,18.7220868772323,76.8936876656538,156.462630714057,0.102919696412389,0.8287240695133,30.4383968369849,0.0655293419158804,0.0696953592942055,1.35334375126606,0.0470686739698278,0.403889349912042,0.127519405085559,0.950774603656911,7.53292347992963,24.5447593733675,"Amapá"
17,129.851996393483,545.14199437259,6.45151596940679,16.4572100671558,1.70538297630892,4.57810296573809,21.347945575799,1.45042261721179,1.44200314140032,1.25277348806119,0.0898655991170252,28.1075078606517,0.81208305932098,182.095722298533,20.7659548352195,73.7282586273473,164.668063910583,0.126417982837955,1.03119303413755,38.94822920781,0.0589087725407288,0.0702012523317995,1.06193853065539,0.0370544098992663,0.444110538490238,0.0979871517846039,0.463884989740082,10.4435060654769,28.4335623022634,"Tocantins"
21,126.069122328985,529.781751278814,6.09415096813485,17.373079809113,1.5133364629214,3.82098554121663,20.3397384857624,1.22140469560948,1.20269505645953,1.03367032227521,0.0827834933604526,29.0780527450554,0.734995587740216,169.21862131767,19.0241778479918,70.3123975504278,147.291371274466,0.111283155444896,0.76811383286576,29.2066079268948,0.0620792689718053,0.0671354493383831,1.13089343035489,0.0440627044466265,0.44384361422827,0.175131338780568,0.437581806120541,7.70215956775144,24.6142932907841,"Maranhão"
22,112.901423587325,474.675907357925,5.58190100425013,15.7946432247189,1.56683085047433,3.32856930276348,17.3663352289152,1.08770361996306,1.05625672157165,0.884502662876818,0.0627497971773398,24.6573421350178,0.608139312626652,160.769208044492,17.6354152993921,64.3130561614332,139.55110229516,0.0946729536610297,0.758244194447931,16.7715091272887,0.0520854731632086,0.05018348420996,1.02477913526891,0.0304671930312214,0.253434060936463,0.0845313638075426,0.327556197030289,9.54836652350125,24.8496117889102,"Piauí"
23,124.644364858666,523.837303956593,5.67724587304221,17.528749798982,1.52146839032667,3.79266070321823,19.7418415376081,1.20934788876044,1.17024270155877,1.03278136373807,0.0975422310374403,27.9543532143124,0.733844888928252,169.459732942329,17.4867588665349,67.7785271245712,139.157223321058,0.118568708793258,0.793296538074284,27.2769823855161,0.0668814744928401,0.0752716219794153,1.17731365667885,0.0478913544152745,0.255912965020883,0.111188142153938,0.345328106447643,8.12619620301313,26.3806805057615,"Ceará"
