State;variable;kg marine fish per person and year
Mato Grosso;X9.1.8.Merluza.em.file.fresco;0
Goi‡s;X9.1.8.Merluza.em.file.fresco;0
Distrito Federal;X9.1.8.Merluza.em.file.fresco;0,024
Rond™nia;X9.1.9.Parati.fresco;0
Acre;X9.1.9.Parati.fresco;0
Amazonas;X9.1.9.Parati.fresco;0
Roraima;X9.1.9.Parati.fresco;0
Par‡;X9.1.9.Parati.fresco;0,03
Amap‡;X9.1.9.Parati.fresco;0
Tocantins;X9.1.9.Parati.fresco;0
Maranh‹o;X9.1.9.Parati.fresco;0,022
Piau’;X9.1.9.Parati.fresco;0
Cear‡;X9.1.9.Parati.fresco;0
Rio Grande do Norte;X9.1.9.Parati.fresco;0
Para’ba;X9.1.9.Parati.fresco;0
Pernambuco;X9.1.9.Parati.fresco;0
Alagoas;X9.1.9.Parati.fresco;0
Sergipe;X9.1.9.Parati.fresco;0
Bahia;X9.1.9.Parati.fresco;0
Minas Gerais;X9.1.9.Parati.fresco;0
Esp’rito Santo;X9.1.9.Parati.fresco;0
Rio de Janeiro;X9.1.9.Parati.fresco;0
S‹o Paulo;X9.1.9.Parati.fresco;0
Paran‡;X9.1.9.Parati.fresco;0
Santa Catarina;X9.1.9.Parati.fresco;0
Rio Grande do Sul;X9.1.9.Parati.fresco;0
Mato Grosso do Sul;X9.1.9.Parati.fresco;0
Mato Grosso;X9.1.9.Parati.fresco;0
Goi‡s;X9.1.9.Parati.fresco;0
Distrito Federal;X9.1.9.Parati.fresco;0
Rond™nia;X9.1.10.Pescada.em.file.congelado;0
Acre;X9.1.10.Pescada.em.file.congelado;0
Amazonas;X9.1.10.Pescada.em.file.congelado;0
Roraima;X9.1.10.Pescada.em.file.congelado;0
Par‡;X9.1.10.Pescada.em.file.congelado;0,016
Amap‡;X9.1.10.Pescada.em.file.congelado;0
Tocantins;X9.1.10.Pescada.em.file.congelado;0
Maranh‹o;X9.1.10.Pescada.em.file.congelado;0
Piau’;X9.1.10.Pescada.em.file.congelado;0,035
Cear‡;X9.1.10.Pescada.em.file.congelado;0,006
Rio Grande do Norte;X9.1.10.Pescada.em.file.congelado;0
Para’ba;X9.1.10.Pescada.em.file.congelado;0
Pernambuco;X9.1.10.Pescada.em.file.congelado;0
Alagoas;X9.1.10.Pescada.em.file.congelado;0
Sergipe;X9.1.10.Pescada.em.file.congelado;0
Bahia;X9.1.10.Pescada.em.file.congelado;0
Minas Gerais;X9.1.10.Pescada.em.file.congelado;0
Esp’rito Santo;X9.1.10.Pescada.em.file.congelado;0,006
Rio de Janeiro;X9.1.10.Pescada.em.file.congelado;0,033
S‹o Paulo;X9.1.10.Pescada.em.file.congelado;0,024
